Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
ATA02;11125;76352;395236.617823862;7007213.34313936;300;111.4;60000;22;2 - Particular;
ATA02;12619;76237;393225.44;7008045.39;75;11.4;35510;21;2 - Particular;
ATA02;12624;76100;395284.04;6998683.72;75;1.3;0;21;2 - Particular;
ATA02;471003;15811;391800.264335045;6994046.73883335;10;0;0;6;1 - Celesc;
ATA02;107586;11245;385857.22;7001140.79;37.5;1.3;0;6;1 - Celesc;
ATA02;107588;9027;386419.39;7001701.11;25;8.4;0;6;1 - Celesc;
ATA02;107584;10040;387514.31;7000877.34;10;0.3;0;6;1 - Celesc;
ATA02;107585;9025;386067.91;7000930.17;25;3.2;0;6;1 - Celesc;
ATA02;107587;9026;386638.63;7000857.17;37.5;5.1;2000;6;1 - Celesc;
ATA02;107589;9029;385812.531140395;7002762.90013481;10;0;0;6;1 - Celesc;
ATA02;107590;9030;386587.86;7002468.11;15;2.3;0;6;1 - Celesc;
ATA02;107639;7179;397923.74;7000495.92;15;0.6;0;6;1 - Celesc;
ATA02;107636;7194;398141.4;7002460.6;45;3.7;0;21;1 - Celesc;
ATA02;107637;7178;397417.16;7000174.31;30;5.3;0;21;1 - Celesc;
ATA02;107638;8590;397838.79;6999966.47;15;0.1;0;6;1 - Celesc;
ATA02;107640;8591;397660.1;7000617.75;10;5.4;0;6;1 - Celesc;
ATA02;107641;7494;399526.53;7002479.3;30;13.9;15000;21;1 - Celesc;
ATA02;107642;7196;399124.3;7004021.81;45;9.4;38320;21;1 - Celesc;
ATA02;107644;7203;401219.07;7003447.48;10;1.4;0;6;1 - Celesc;
ATA02;107645;7350;401302.28;7003731.16;37.5;1.1;0;6;1 - Celesc;
ATA02;107646;9333;396759.34;7015714.38;10;6.6;0;6;1 - Celesc;
ATA02;107648;9335;395610.18;7016779.97;5;0;0;6;1 - Celesc;
ATA02;107649;9791;395646.1;7017527.53;15;0;0;6;1 - Celesc;
ATA02;107864;7147;393223.79;7011891.62;10;0;0;6;1 - Celesc;
ATA02;107865;7148;393134.02;7012619.98;30;7.4;8370;21;1 - Celesc;
ATA02;107842;7213;401600.1;7004311.06;15;1.2;0;6;1 - Celesc;
ATA02;107846;11730;393376.54;7011497.53;10;0.2;0;6;1 - Celesc;
ATA02;107866;7152;393865.33;7011711.3;37.5;3.2;0;7;1 - Celesc;
ATA02;107867;7153;394521.309018136;7011916.49348696;15;0.5;0;6;1 - Celesc;
ATA02;107868;11622;394400.06;7011453.63;15;4.1;0;6;1 - Celesc;
ATA02;107869;7154;394322.74;7011076.09;25;0.8;25000;6;1 - Celesc;
ATA02;107870;9581;393824.36;7011163.23;25;3.1;12400;6;1 - Celesc;
ATA02;107871;7149;393563.12;7012381.24;10;1.3;0;6;1 - Celesc;
ATA02;107872;9574;393932.52;7012706.95;10;0.1;0;6;1 - Celesc;
ATA02;107873;7151;394376.95;7013084.05;25;7.2;0;6;1 - Celesc;
ATA02;107662;8845;401139.8;7003649.19;10;3.6;0;6;1 - Celesc;
ATA02;107663;7204;400376.23;7003783.72;10;3.1;0;6;1 - Celesc;
ATA02;107664;9741;400730.12;7003917.08;45;12;10700;21;1 - Celesc;
ATA02;107665;9719;400501.86;7004578.89;10;3.7;0;6;1 - Celesc;
ATA02;107666;7206;400164.89;7005010.02;10;2.4;0;6;1 - Celesc;
ATA02;107667;7197;401183.34;7002804.66;30;4.1;0;21;1 - Celesc;
ATA02;107668;7199;401135.39;7001671.72;45;1.9;0;21;1 - Celesc;
ATA02;107671;7200;401490.92;7002183.54;15;4.1;0;6;1 - Celesc;
ATA02;107672;9122;401633.2;7001698.32;30;2.8;0;21;1 - Celesc;
ATA02;107673;7201;401725.94;7000738.71;30;5.5;0;21;1 - Celesc;
