Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Fusível.Identificador do Objeto;Chave Fusível.Número Operacional;Chave Fusível.Coordenada X;Chave Fusível.Coordenada Y;Chave Fusível.Rotação
ATA02;29030;4785;390824.17;7006174.97;110.8;
ATA02;29468;9992;398508.69;6998601.62;23.6;
ATA02;60184;4769;391715.48;6998231.45;89.8;
ATA02;28937;4547;391746.05;7002738.68;43.1;
ATA02;63180;80204;391678.31;6997669.28;266.1;
ATA02;29062;4078;395712.83;7009065.32;285.9;
ATA02;167641;3430;400862.73;7008774.46;256;
ATA02;283944;82070;393598.84;6994025.95;231;
ATA02;51961;4255;389703.68;7001894.75;164;
ATA02;90119;761;390393.26;7007677.39;240.6;
ATA02;350957;80579;396126;7005625.1;53.8;
ATA02;312147;82068;396938.57;7007439.01;21.4;
ATA02;29448;8539;395880.01;6999464.04;323.2;
ATA02;29089;4839;397782.55;7012819.58;17.7;
ATA02;28659;9019;386854.19;6999594.71;175.6;
ATA02;29063;4079;396389.8;7009344.97;119.7;
ATA02;29078;4140;392056.67;7001666.73;304.1;
ATA02;29480;8809;396144.81;7000788.11;9.6;
ATA02;29086;8612;396696.24;7008384.84;244.4;
ATA02;32942;3138;394366.5;6999862.93;65.6;
ATA02;339045;80555;393314.63;7000839.41;290;
ATA02;27020;4063;389295.79;7000724.72;156.6;
ATA02;29048;4074;394577.04;7008952.49;73.2;
ATA02;253453;3855;389704.65;7003316.33;2.9;
ATA02;311952;82059;401229.94;7008677.05;344.9;
ATA02;29028;3657;390769.97;7004600.26;187.9;
ATA02;29047;4311;394455.04;7010217;13.4;
ATA02;50686;4267;386807.21;7000252;19.6;
ATA02;29085;9488;397370.75;7007097.28;108.7;
ATA02;29428;4307;393481.11;7009933.34;5;
ATA02;29441;4225;398635.44;6999773.1;65.9;
ATA02;99016;4330;395038.84;6999162.59;248.5;
ATA02;29454;4269;396130.65;6996924.58;325.8;
ATA02;50590;3628;388618.62;6998099.23;157.6;
ATA02;316944;4070;397691.034439141;7009472.64450544;205.7;
ATA02;29049;8599;394691.68;7009978.36;236.2;
ATA02;29079;4361;392889.04;7001310.44;73.1;
ATA02;29456;9860;396762.15;6994088.42;9.9;
ATA02;57741;4734;391334.48;7007442.06;122.2;
ATA02;23506;80172;398441.88;7008820.17;238.5;
ATA02;55584;80101;385987.9;7002344.74;144.3;
ATA02;168147;80022;387235.14;6998230.09;279.2;
ATA02;29039;4495;395772.16;7012879.84;159.5;
ATA02;51965;76100;395237.49;6998698.18;342.7;
ATA02;237344;76352;395213.29;7007205.59;18.4;
ATA02;29494;9574;393990.89;7012712.39;185.3;
ATA02;168444;80348;385401.47174513;7000329.61762077;226.2;
ATA02;182350;80364;393578.363366249;6994226.91003813;169.9;
ATA02;29084;3671;393432.37;7000782.35;55.7;
ATA02;81222;3658;390904.12;7005295.6;306.3;
ATA02;168842;80346;385930.633;6999897.633;43.4;
ATA02;168455;80330;385381.501182023;7000409.80893509;353.7;
ATA02;226344;80351;397287.58;6993662.17;37.3;
ATA02;181755;242;394852.37;6999335.24;294.2;
ATA02;29057;4282;390918.87;7003784.21;164.3;
ATA02;29466;8803;395457.44;7003774.67;345.5;
ATA02;32507;12931;401644;7000000.99;335.9;
ATA02;47603;4357;389397.14;7000861.44;8.9;
ATA02;26989;3677;396239.91;7000877.06;319.1;
ATA02;168343;3684;386065.9379552;6999662.58700004;194.5;
ATA02;350956;82109;392483.96;7004739.66;115.5;
ATA02;28939;7314;388762.61;6998255.87;162.1;
ATA02;253454;3772;389455.85;7003467.77;52.1;
ATA02;290943;80491;390412.97;7002880.41;287.2;
ATA02;29461;4301;390553.41;6997953.69;204.3;
ATA02;61466;80137;395350.64;7003327.29;64.5;
ATA02;227244;80374;397263.35;7016485.96;344.3;
ATA02;29467;4125;395409.05;7003024.53;172.5;
ATA02;29489;3050;398986.88;7003173.63;78.5;
ATA02;28940;6976;389037.33;6998805.48;115.2;
ATA02;168454;14507;386483.637277502;6999543.32013328;74.5;
ATA02;29445;4250;394356.56;6994101.25;254.5;
ATA02;268343;4746;389077.38;7003497.66;77.5;
ATA02;350952;82108;387014.75;7001015.69;45.1;
ATA02;29451;4187;400901.06;7008743.05;71;
ATA02;29469;4226;398626.88;6999233.67;355.2;
ATA02;31283;12501;390922.64;7003702.92;180;
ATA02;153941;82010;393486.2;7003788.44;189.2;
ATA02;106727;80326;393918.55;7000111.17;194.1;
ATA02;29027;7929;390776.5;7009349.47;30.2;
ATA02;29475;4228;399464.46;7000107.55;70.2;
ATA02;29488;3678;398990.81;7003117.08;267.6;
ATA02;50690;4261;389686.18;7002034.58;73.4;
ATA02;159747;3939;393201.38;7007768.91;76.2;
ATA02;29061;4076;395002.37;7008976.68;265.4;
ATA02;29462;4232;393450.96;6997837.37;276.4;
ATA02;29490;10180;401144.55;7003410.2;154.7;
ATA02;102023;636;390681.12;7008584.53;101.4;
ATA02;80342;80266;393864.78;6998115.33;309.2;
ATA02;28942;8547;389239.14;7000045.84;138.3;
ATA02;29455;4089;399906.75;7011036.76;125.3;
ATA02;29463;4248;392285.11;6998098.64;88.9;
ATA02;27000;7087;392533.33;7005651.11;148.7;
ATA02;28936;4378;391478.74;7001052.99;201.4;
ATA02;29464;4300;390640.94;6998016.22;126.9;
ATA02;213346;80193;396107.17;6999947.34;183;
ATA02;29460;3651;400173.67;7010732.34;321.4;
ATA02;168451;7881;387407.92;6998242.79;279.6;
ATA02;290353;76457;391281.51088358;7002187.10180123;268;
ATA02;29066;8614;395327.44;7009064.52;256.4;
ATA02;29459;8648;400173.67;7010732.34;75.3;
ATA02;249645;80431;394299.799721443;7010679.18844941;221.3;
ATA02;26987;3659;390824.17;7006174.97;354.6;
ATA02;29064;4081;397235.89;7010451.95;200.9;
ATA02;28671;3860;388618.62;6998099.23;351.4;
ATA02;28650;7638;385697.58;6999209.27;317.4;
ATA02;29427;7146;393174.08;7010868.03;288.5;
ATA02;50689;4425;389211.32;6999778.76;344.2;
ATA02;54761;8549;389365.75;7001321.47;193.1;
