Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Religador.Identificador do Objeto;Religador.Número Operacional;Religador.Coordenada X;Religador.Coordenada Y;Religador.Rotação
ATA02;168607;89107;393202.38;6993535.99;159.7;
ATA02;85707;89052;387069.86;6998582.164;98.6;
ATA02;102807;86502;395324.982141923;6998887.15029086;245.8;
ATA02;64807;587;393195.38;7007729.38;48.4;
ATA02;141009;89097;395381.29;6998477.62;231.9;
ATA02;155907;86514;396693.42;7009683.82;49.3;
ATA02;127;510;390995.77;7003253.49;116.7;
ATA02;141107;89101;395377.32;6997955.85;298.9;
ATA02;102607;89057;398383.68;7005244.94;145.1;
ATA02;98;508;391021.48;7003195.65;318.5;
ATA02;130107;89069;397375.78;6995212.45;238.9;
ATA02;142407;89053;398487;7009481.38;40.8;
ATA02;141507;89084;391146.88;7007501.9;123.9;
ATA02;146807;86512;390326.04;7002825.62;31.5;
ATA02;106007;89056;395348.44;7013932.57;132.2;
ATA02;34607;573;391381.065796184;7007492.88747283;42.3;
ATA02;128808;89075;390901.82;7004070.61;29.8;
ATA02;83607;89051;386661.7;7000539.28;90.8;
ATA02;141014;89102;396932.88;7002388.21;82.2;
ATA02;141610;89085;392570.23;7007628.76;70.3;
ATA02;66507;592;388104.918370709;6997507.42104296;168.8;
ATA02;133607;89094;396923.31;7002328.12;176.4;
ATA02;98207;86501;395560.94;6999172.03;69.1;

 ; ; ; ; ; ;
 ; ; ; ; ; ;
