Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Trecho Primário Aéreo.Identificador do Objeto;Rep. Grafica: Trecho Primário Aéreo.Linha;Rep. Grafica: Trecho Primário Aéreo.Rotação;Trecho Primário Aéreo.Comprimento Estimado;Trecho Primário Aéreo.Quantidade de Cabos por Fase;Trecho Primário Aéreo.Fases Existentes;Tipo de Cabo.Código de cabo;Tipo de Cabo.Reatância Positiva;Tipo de Cabo.Reatância Zero;Tipo de Cabo.Resistência Positiva;Tipo de Cabo.Resistência Zero
ATA02;1434831;LINESTRING (395779.61 7013979.2, 395832.992880462 7014033.33934908);0;76.0315792627717;1 - 1;13 - STR;4 CAA;0.522;1.979;1.598;1.772;
ATA02;1444935;LINESTRING (391278.68 7015820.32, 391346.13 7015730.11);0;112.638122320975;1 - 1;3 - T;4 CAA;0.522;1.979;1.598;1.772;
ATA02;1352005;LINESTRING (398734.82 7011160.92, 398768.22 7011208.25);0;57.9283082784972;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
ATA02;1349644;LINESTRING (389362.12 7003465.19, 389281.74 7003467.94);0;80.4270284170735;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349643;LINESTRING (389455.85 7003467.77, 389362.12 7003465.19);0;93.7655016517429;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349645;LINESTRING (389281.74 7003467.94, 389190.97 7003477.48);0;91.2699539826417;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349646;LINESTRING (389190.97 7003477.48, 389132.17 7003482.99);0;59.0575998496638;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349649;LINESTRING (389077.38 7003497.66, 388957.57 7003520.86);0;122.03555260664;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349650;LINESTRING (388957.57 7003520.86, 388915.74 7003521.32);0;41.8325292087549;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349651;LINESTRING (388915.74 7003521.32, 388880.15 7003520.93);0;35.5921367720195;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
ATA02;1349652;LINESTRING (388880.15 7003520.93, 388808.91 7003507.55);0;72.4855985696171;1 - 1;14 - TRS;4/0 CA;0.424;1.882;0.297;0.476;
