Data de Emissão:;03/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Seccionadora.Identificador do Objeto;Chave Seccionadora.Número Operacional;Chave Seccionadora.Coordenada X;Chave Seccionadora.Coordenada Y
ATA02;180811;1548;389554.17;7003385.8;
ATA02;60910;1443;394745.36;6994089.32;
ATA02;249707;1090;387970.9;7003508.94;
ATA02;151108;876;395560.94;6999172.03;
ATA02;249706;1103;390331.02;7002865.97;
ATA02;1414;821;396924.17;7002088.97;
ATA02;4953;1395;394333.8;6999737.43;
ATA02;235106;1561;396693.42;7009683.82;
ATA02;1410;896;397417.98;7009712.51;
ATA02;39814;1456;388921.98;6998502.49;
ATA02;179207;1511;394657.215746588;7014898.84109401;
ATA02;7766;1194;390851.39;7003141.46;
ATA02;62806;1162;391381.065796184;7007492.88747283;
ATA02;133206;979;390394.71;7002867.74;
ATA02;48007;1156;391343.6;7007402.45;
ATA02;221006;1562;390326.04;7002825.62;
ATA02;106410;85220;384962.154066159;7000875.44090726;
ATA02;6266;1220;392804.89;7007444.01;
ATA02;105213;1492;388104.918370709;6997507.42104296;
ATA02;7769;1195;389725.53;7001996.27;
ATA02;156806;1512;395324.982141923;6998887.15029086;
ATA02;14216;1106;390995.77;7003253.49;
ATA02;103607;1385;393195.38;7007729.38;
ATA02;6614;845;391021.48;7003195.65;
ATA02;7985;1203;398694.99;7011107.31;
ATA02;8484;1393;397757.1;7015611.4;
ATA02;105306;1388;387528.116975729;6998036.01400004;
ATA02;10975;880;388073.78;6997421.61;
ATA02;105706;1378;386463.948380982;6999498.48386806;
ATA02;20901;1427;399149.389996019;7003111.37219899;
ATA02;14153;1319;388080.25;6997435.11;

 ; ; ; ; ;
 ; ; ; ; ;
