Data de Emissão:;02/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
PAA01;13980;70297;560944.18;6959539.7;75;1.6;8000;21;2 - Particular;
PAA01;13981;70841;560382.27;6960152.63;112.5;80.2;0;21;2 - Particular;
PAA01;13982;70710;560707.06;6960078.75;75;30.4;0;21;2 - Particular;
PAA01;13983;70298;561379.24;6960275.65;30;25.1;0;21;2 - Particular;
PAA01;13984;70749;560838.18;6961076.98;225;61.6;0;21;2 - Particular;
PAA01;13991;70300;561284.99;6961014.62;75;0;0;21;2 - Particular;
PAA01;14019;70301;560678.65;6962079.29;45;12.5;0;21;2 - Particular;
PAA01;14025;71130;556831.45;6969769.91;75;34.3;0;21;2 - Particular;
PAA01;14231;70305;559803.79;6963796.98;795;15.7;0;21;2 - Particular;
PAA01;15512;70299;560990.08;6961058.97;225;30;0;21;2 - Particular;
PAA01;145008;12115;562002.4;6961272.63;15;10.9;0;6;1 - Celesc;
PAA01;145009;11649;561748.64;6961981.27;75;17.6;0;21;1 - Celesc;
PAA01;145004;12113;561357.57;6961407.63;45;32.8;0;21;1 - Celesc;
PAA01;145005;13321;561393.85;6961626.03;45;24.9;0;21;1 - Celesc;
PAA01;145006;13322;561450.67;6961461.29;30;36.7;0;21;1 - Celesc;
PAA01;145007;12114;561538.24;6961315.67;45;36.8;0;21;1 - Celesc;
PAA01;16678;70909;561609.6;6961139.09;225;308.6;0;21;2 - Particular;
PAA01;16745;70924;560566.31;6962257.53;150;9.6;75000;21;2 - Particular;
PAA01;145010;15958;561734.13;6962364.76;10;1.6;0;6;1 - Celesc;
PAA01;145011;12813;561966.92;6962965.74;15;2;0;6;1 - Celesc;
PAA01;145012;12812;561920.77;6963133.75;15;2.1;0;6;1 - Celesc;
PAA01;145013;16690;563229.27;6962921.34;10;0;0;6;1 - Celesc;
PAA01;145014;12819;563544.31;6965668.42;15;0.3;0;6;1 - Celesc;
PAA01;145015;10721;562018.29;6965099.7;10;1.5;0;6;1 - Celesc;
PAA01;145016;15129;561698.68;6963607.54;10;1.5;0;6;1 - Celesc;
PAA01;145017;15128;561694.48;6964067.14;15;2.3;0;6;1 - Celesc;
PAA01;145018;10722;561934.89;6964715.2;10;2.4;0;6;1 - Celesc;
PAA01;145019;10355;567821.55;6966166.08;10;5;0;6;1 - Celesc;
PAA01;145020;10357;568784.98;6968588.53;15;0;0;6;1 - Celesc;
PAA01;145021;10356;568031.91;6967357.96;10;3.9;0;6;1 - Celesc;
PAA01;145022;12818;564962.12;6965234.19;10;3.1;8000;6;1 - Celesc;
PAA01;145023;15614;566233.45;6968892.95;10;0;0;6;1 - Celesc;
PAA01;145024;12821;566640.4;6969471.67;15;0;0;6;1 - Celesc;
PAA01;145026;12820;567874.58;6969853.13;10;1.8;0;6;1 - Celesc;
PAA01;145027;12705;564098.59;6961201.82;10;0;0;6;1 - Celesc;
PAA01;145028;12704;563025.96;6960406.47;10;0.7;0;6;1 - Celesc;
PAA01;145029;12707;564857.92;6961500.68;10;0.5;0;6;1 - Celesc;
PAA01;145030;18377;564546.02;6961276.98;15;2;0;6;1 - Celesc;
PAA01;145031;12521;564794.14;6961054.67;10;0.5;0;6;1 - Celesc;
PAA01;145032;15566;565088.19;6959999.34;10;0;0;6;1 - Celesc;
PAA01;145036;12788;566674.62;6963641.94;10;3.3;0;6;1 - Celesc;
PAA01;145033;12708;565297.47;6962579.95;10;0.2;0;6;1 - Celesc;
PAA01;145034;12709;566940.248299343;6960869.67433402;10;0.3;0;6;1 - Celesc;
PAA01;145035;12710;567410.56;6961793.01;10;0;0;6;1 - Celesc;
PAA01;145037;12799;568231.18;6962206.95;25;3.2;0;6;1 - Celesc;
PAA01;145038;12712;568746.37;6962238.87;10;2.2;0;6;1 - Celesc;
