Data de Emissão:;02/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Fusível.Identificador do Objeto;Chave Fusível.Número Operacional;Chave Fusível.Coordenada X;Chave Fusível.Coordenada Y;Chave Fusível.Rotação
PAA01;42208;82228;556249.02;6971496.58;189.1;
PAA01;42203;80730;557287.01;6968358.87;205.9;
PAA01;42206;9928;556400.56;6970470.95;237.3;
PAA01;52927;23103;556032.66;6972977.95;207.7;
PAA01;59808;20751;560357.41;6962258.99;196.8;
PAA01;34884;12817;566858.13;6969721.55;88.4;
PAA01;34918;81942;574969.04;6971982.24;283.3;
PAA01;41927;20794;559756.33;6964034.8;172.5;
PAA01;164447;81241;560581.98;6959998.33;196.6;
PAA01;42671;81948;575494.96;6966415.3;143.1;
PAA01;47162;81831;560272.45;6959860.36;233;
PAA01;40148;18122;580818.24;6964175.99;285.7;
PAA01;42194;80728;557868.23;6964743.7;159.7;
PAA01;42201;4778;558271.44;6966547.81;199.7;
PAA01;34904;81191;570126.23;6965350.07;150.3;
PAA01;42218;81504;556149.09;6972352.3;45.4;
PAA01;42672;82233;557743.28;6967488.55;54.8;
PAA01;45545;70305;559724.95;6963793.49;2.5;
PAA01;42204;81536;557264.19;6968410.54;9;
PAA01;42645;14010;582052.95;6964829.96;309.3;
PAA01;51319;13318;561108.61;6961414.52;86.8;
PAA01;42607;3703;565919.37;6966744.48;154;
PAA01;34876;13322;561449.03;6961403.91;88.4;
PAA01;34881;81199;562869.15;6963311.08;301.6;
PAA01;45258;82311;581015.79;6971891.39;86.5;
PAA01;52684;80726;558474.45;6965423.63;194;
PAA01;109421;25290;582220.401;6971138.957;60.1;
PAA01;34902;15416;571927.12;6963594.71;168;
PAA01;42217;10522;556442.06;6971927.33;237;
PAA01;43597;22042;558271.44;6966547.81;149;
PAA01;100029;80719;561208.72;6961154.81;6.9;
PAA01;34879;82224;563828.13;6965295.11;127.5;
PAA01;34882;12812;562005.47;6963015.3;125.5;
PAA01;42595;12265;560506.61;6968311.82;84.6;
PAA01;46929;70297;560897.69;6959508.59;11.6;
PAA01;52698;4798;556171.76;6972220;230.3;
PAA01;42236;4570;558960.81;6969096.75;147.1;
PAA01;42594;4501;560266.76;6968459.39;240.9;
PAA01;34915;82147;572421.27;6971038.1;91.7;
PAA01;56217;80537;561889.38;6961222.36;21;
PAA01;34908;14834;570817.21;6968764.12;325.5;
PAA01;54662;23981;560251.48;6972251.86;302.7;
PAA01;34877;70304;561782.93;6961203.3;288.5;
PAA01;34917;14581;575351.33;6971985.26;298;
PAA01;58858;70924;560503.66;6962141.43;59.4;
PAA01;34900;81864;573492.54;6964606.53;302;
PAA01;41945;20732;559832.19;6968725.18;61.5;
PAA01;43194;82225;566165.73;6967582.44;84;
PAA01;42670;82149;575749.15;6969765.45;249.2;
PAA01;42160;70301;560584.81;6962036.04;24.7;
PAA01;42668;81543;573504.93;6965211.5;138;
PAA01;80345;15654;560525.51;6962110.26;212.4;
PAA01;34866;70749;560892.03;6961168.46;232.4;
PAA01;34903;80235;573492.54;6964606.53;86.6;
PAA01;34871;11220;561812.58;6959686.38;15;
PAA01;45966;13321;561389.7;6961407.05;98;
PAA01;47123;81941;577437.27;6970327.63;13.3;
PAA01;60877;82289;566097.13;6967087.34;331.4;
PAA01;41947;21174;566164.58;6967572.06;311.3;
PAA01;92137;25158;558406.47;6965192.27;126.8;
PAA01;42195;81880;556058.47;6965405.58;147.7;
PAA01;42210;82234;559447.82;6973115.26;40.1;
PAA01;59785;82223;562431.73;6963224.42;338.7;
PAA01;42149;82148;575915.6;6969775.05;30.8;
PAA01;42673;14806;571962.54;6970114.24;326.3;
PAA01;34888;80506;564833.69;6961508.43;263.2;
PAA01;42644;81623;580006.89;6965391.38;124.4;
PAA01;34867;13316;561049.59;6961011.51;6.9;
PAA01;42610;81501;559920.25;6970226.95;152.6;
PAA01;42669;18728;573073.78;6965599.8;5.5;
PAA01;41946;4393;560129.68;6962861.82;32.3;
PAA01;52214;4772;561119.04;6959804.52;223.6;
PAA01;45958;81572;560739.37;6960040.35;65.2;
PAA01;62517;81372;561480.94;6972000.2;282.8;
PAA01;34885;81297;565266.46;6961361.18;81;
PAA01;42604;80992;562317.5;6969451.32;83.3;
PAA01;34869;70298;561265.04;6960307.1;344.6;
PAA01;34905;82146;570664.96;6967922.3;88.3;
PAA01;42183;12118;559999.54;6963010.54;7.4;
PAA01;62276;24458;555225.77;6972054.53;277.9;
PAA01;20755;4976;561931.4;6962286.41;358.6;
PAA01;146744;82378;556745.83;6969607.95;112.5;
PAA01;34883;3723;567495.4;6966340.29;54.7;
PAA01;45959;80717;561016.83;6959913.36;132.9;
PAA01;34875;70300;561348;6961034.91;197.8;
PAA01;34886;81108;567496.37;6961834.32;98;
PAA01;42159;12116;560429.57;6962234.42;71.4;
PAA01;42193;81200;557060.43;6965042.1;244.2;
PAA01;42239;12263;560856.58;6968377.73;259.1;
PAA01;45257;4461;581951.16;6965214.36;309.1;
PAA01;42150;13118;576093.61;6969881.25;114.4;
PAA01;42182;81944;558261.86;6963435.66;124.6;
PAA01;42213;81338;562445.93;6972586.76;141.6;
PAA01;42220;82230;556232.74;6971874.22;100;
PAA01;41080;704;559022.03;6969166.54;333.4;
PAA01;42216;80736;558085.48;6972384.06;57.2;
PAA01;52683;4815;575299.78;6967784.36;343.3;
PAA01;42050;81949;580971.06;6971075.06;343.1;
PAA01;42192;12728;556087.27;6963939.2;33.5;
PAA01;57054;24366;569860.36;6962282.81;241;
PAA01;41948;4262;567924.54;6969853.53;94.9;
PAA01;42235;81189;558460.25;6968497.84;304.5;
PAA01;62771;87043;561601.29;6961579.28;99.2;
PAA01;292643;71482;561511.576427417;6961159.12903628;325.4;
PAA01;47434;19391;561414.63;6968744.81;12.2;
PAA01;42202;80731;557163.69;6968035.11;205.5;
PAA01;168643;87268;570621.53767057;6967278.72613295;23.4;
PAA01;42012;15846;572099.97;6971959.17;169.1;
PAA01;42667;12717;570314.78;6964025.86;216.2;
PAA01;86616;81658;572125.85;6971801.3;183.9;
PAA01;34890;12799;568343.18;6962115.1;140.9;
PAA01;34907;17642;570342.79;6966092.19;21.3;
PAA01;42174;82232;558561.88;6965284.07;210.8;
PAA01;42697;4417;572335.02;6972217.27;101.9;
PAA01;58883;23437;561590.28;6961545.12;352.2;
PAA01;34870;70299;561031.57;6961073.2;198.9;
PAA01;42148;4654;575006.74;6969919.45;242.7;
PAA01;42219;82229;556342.25;6971878.13;26.2;
PAA01;45968;80713;561582.03;6959824.9;292;
PAA01;57894;80902;559905.85;6963110.41;217.1;
PAA01;100627;71411;558409.380604184;6965694.22915512;46.5;
PAA01;42226;80737;561022.2;6974602.15;334.8;
PAA01;34880;81943;562117.06;6964927.83;119.9;
PAA01;34887;12704;562993.44;6960498.99;289.3;
PAA01;42207;85322;556858.81;6969694.59;110.4;
PAA01;45256;81531;579981.67;6965063.97;93.7;
PAA01;34906;80841;570669.637668799;6967787.24417415;186.4;
PAA01;42211;81337;561890.56;6972176.51;307.2;
PAA01;45957;70710;560749.44;6960062.14;158.6;
PAA01;34901;15851;573938.36;6964029.17;221.3;
PAA01;42205;80732;556288.16;6971008.33;7.1;
PAA01;42643;13880;579194.86;6965005.01;270.3;
PAA01;42228;12162;560874.05;6975553.32;58.2;
PAA01;42049;81910;580155.4;6972550.89;46.2;
PAA01;42238;81503;561748.72;6969356.74;174.1;
PAA01;46007;82145;570949.49;6963047.29;36.5;
PAA01;126146;25354;558472.4;6966121.49;3.8;
PAA01;34878;80849;563687.71;6965478.2;171.8;
PAA01;45255;82290;575307.68;6965925.53;347.8;
PAA01;45998;80727;567127.82;6961212.19;279.5;
PAA01;42200;15293;552982.04;6965554.43;217.4;
PAA01;57651;81532;561376.71;6961208.57;275.4;
PAA01;29017;80723;558868.42;6963899.18;217.1;
PAA01;41944;20734;561812.74;6964469.3;342.3;
PAA01;42051;15098;580971.06;6971075.06;102.5;
PAA01;42227;81641;560933.04;6975478.2;2.2;
PAA01;275248;70909;561565.66;6961174.65;321;
PAA01;34919;14299;573815.3;6972004.47;251.8;
PAA01;34889;81298;566882.04;6961026.6;290.3;
PAA01;234645;12129;557601.17;6967458.42;156.7;
PAA01;34872;12106;560302.41525405;6960192.04166877;94.9;
PAA01;41935;20882;568386.44;6970308.4;102.9;
PAA01;50162;4800;581803.49;6965204.5;106;
PAA01;34873;70841;560394.98;6960133.62;123.8;
PAA01;42214;82227;559242.67;6972942.51;325.7;
PAA01;51915;15040;577089.03;6970299.91;149.4;

 ; ; ; ; ; ;
 ; ; ; ; ; ;
