Data de Emissão:;02/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Trecho Primário Aéreo.Identificador do Objeto;Rep. Grafica: Trecho Primário Aéreo.Linha;Rep. Grafica: Trecho Primário Aéreo.Rotação;Trecho Primário Aéreo.Comprimento Estimado;Trecho Primário Aéreo.Quantidade de Cabos por Fase;Trecho Primário Aéreo.Fases Existentes;Tipo de Cabo.Código de cabo;Tipo de Cabo.Reatância Positiva;Tipo de Cabo.Reatância Zero;Tipo de Cabo.Resistência Positiva;Tipo de Cabo.Resistência Zero
PAA01;1488416;LINESTRING (551631.783 6964649.834, 551619.956450464 6964632.34747387);0;21.110326146615;1 - 1;12 - SRT;1/0 CAA;0.52;1.978;0.7;0.874;
PAA01;1351213;LINESTRING (561180.49 6961175.17, 561180.62 6961189.63);0;14.4605843588329;1 - 1;14 - TRS;4 CA;0.486;1.943;1.504;1.703;
PAA01;1464806;LINESTRING (557838.675491451 6964717.17369808, 557785.2 6964669.38);0;71.7207484769068;1 - 1;1 - R;4 CAA;0.522;1.979;1.598;1.772;
PAA01;1470704;LINESTRING (579812.75 6972781.52, 579729.81 6972849.6);0;107.302982251198;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470705;LINESTRING (579729.81 6972849.6, 579642.04 6972915.67);0;109.858171293913;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470706;LINESTRING (579642.04 6972915.67, 579538.36 6972915.29);0;103.680696371169;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470707;LINESTRING (579538.36 6972915.29, 579427.58 6972926.23);0;111.318875308795;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470708;LINESTRING (579427.58 6972926.23, 579414.1 6972988.88);0;64.0837959232245;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470709;LINESTRING (579414.1 6972988.88, 579328.66 6972987.38);0;85.4531661203402;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470710;LINESTRING (579328.66 6972987.38, 579238.84 6972961);0;93.6137639452971;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470711;LINESTRING (579238.84 6972961, 579136.67 6972953.25);0;102.463512529997;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
PAA01;1470712;LINESTRING (579136.67 6972953.25, 579046.4 6973024.15);0;114.784506358899;1 - 1;1 - R;35 mm2-SP-CAA-25kV-XLPE;0.3913;1.893;0.8528;1.025;
