Data de Emissão:;02/jan/2023
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Seccionadora.Identificador do Objeto;Chave Seccionadora.Número Operacional;Chave Seccionadora.Coordenada X;Chave Seccionadora.Coordenada Y
PAA01;9187;1377;561324.09;6961408.29;
PAA01;258609;961;558843.33;6963920.65;
PAA01;9814;83079;567432.35;6961742.55;
PAA01;275208;971;551619.956450464;6964632.34747387;
PAA01;7444;1635;562094.89;6960155.84;
PAA01;7618;1805;561552.66;6959405.92;
PAA01;9192;1952;559802.53;6964531.42;
PAA01;54506;815;561502.98;6961332.2;
PAA01;86427;1395;562128.46;6960158.66;
PAA01;8998;1225;562253.13;6960232.18;
PAA01;8417;1899;561171.79;6959761.96;
PAA01;7306;1950;572421.27;6971038.1;
PAA01;7304;1412;561142.17;6960453.68;
PAA01;258610;887;558816.984;6963950.552;
PAA01;5962;1717;562317.58;6960249.04;
PAA01;7445;1541;561352.39;6959846.74;
PAA01;9191;1951;570055.47;6964496.73;
PAA01;257208;85523;551631.783;6964649.834;
PAA01;9798;2015;560979.95;6961289.77;

 ; ; ; ; ;
 ; ; ; ; ;
