Data de Emissão:;22/dez/2022
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Transformador de Distribuição Aéreo.Identificador do Objeto;Transformador de Distribuição Aéreo.Número Operacional;Transformador de Distribuição Aéreo.Coordenada X;Transformador de Distribuição Aéreo.Coordenada Y;Transformador de Distribuição Aéreo.Potência Nominal (kVA);Transformador de Distribuição Aéreo.Demanda Total (kVA);Transformador de Distribuição Aéreo.Potência instalada GD total (W);Transformador de Distribuição Aéreo.Tensão do TAP ajustado (kV);Transformador de Distribuição Aéreo.Proprietário
TDE06;93901;15072;743861.61;6944394.45;112.5;50.3;11000;17;1 - Celesc;
TDE06;93894;6525;744403.93;6944979.01;150;50.3;0;16;1 - Celesc;
TDE06;93898;6853;744086.26;6944340.69;112.5;127.2;3000;17;1 - Celesc;
TDE06;93899;6403;743961.86;6944324.15;75;57.7;0;17;1 - Celesc;
TDE06;93900;5464;743908.58;6944322;112.5;77.6;0;17;1 - Celesc;
TDE06;11568;71924;743911.29;6944225.17;150;44.5;0;16;2 - Particular;
TDE06;12396;73108;744365.18;6944956.54;112.5;20.2;0;16;2 - Particular;
TDE06;12525;73492;743694.22;6944099.23;150;22.8;0;16;2 - Particular;
TDE06;12047;72981;743931.45;6944240.67;112.5;25.2;0;16;2 - Particular;
TDE06;12151;72956;744862.77;6944633.15;150;47.4;0;16;2 - Particular;
TDE06;12179;73122;744041.73;6944324.02;75;17.5;0;16;2 - Particular;
TDE06;12189;73946;744238.05;6944737.91;112.5;61.6;0;17;2 - Particular;
TDE06;17359;72625;744822.76;6944900.46;150;19.1;0;17;2 - Particular;
TDE06;32822;21994;743889.27;6945120.84;45;61.2;0;17;1 - Celesc;
TDE06;93601;17233;744161.97;6945097.53;225;52.5;0;17;1 - Celesc;
TDE06;93617;17234;743987.4;6944819.14;75;35.4;0;16;1 - Celesc;
TDE06;93717;14669;744333.25;6945097.8;45;0.5;0;16;1 - Celesc;
TDE06;93718;8479;744256.89;6945124.53;112.5;65.9;0;17;1 - Celesc;
TDE06;93725;5461;744139.72;6945185.19;75;48;5360;17;1 - Celesc;
TDE06;93726;15207;744009.11;6945186.4;30;14.3;0;16;1 - Celesc;
TDE06;93727;10089;744193.53;6944982.49;112.5;47.6;0;17;1 - Celesc;
TDE06;93729;6972;744056.29;6944948.59;75;54.4;14150;17;1 - Celesc;
TDE06;93730;15363;743766.59;6944776.17;112.5;19.1;0;17;1 - Celesc;
TDE06;93732;8215;743837.23;6944775.93;75;29.9;0;17;1 - Celesc;
TDE06;93744;15073;743867.87;6944615.33;112.5;27.1;0;17;1 - Celesc;
TDE06;94367;8141;744821.95;6944799.44;30;7.2;0;17;1 - Celesc;
TDE06;94368;7542;744628.75;6944907.68;75;16;0; ;1 - Celesc;
TDE06;94385;8661;744653.49;6944911.93;150;14.2;0;16;1 - Celesc;
TDE06;93902;7399;743784.54;6944346.87;75;30.4;38450;16;1 - Celesc;
TDE06;94030;16141;743687.68;6943989.82;45;38.1;0;16;1 - Celesc;
TDE06;94025;7412;743639.85;6944373.7;75;32.2;23640;17;1 - Celesc;
TDE06;94027;7000;743815.63;6944141.85;112.5;68.2;0;17;1 - Celesc;
TDE06;94028;8667;743754.46;6944035.38;150;71.6;9022;17;1 - Celesc;
TDE06;94056;6946;743703.63;6943732.06;75;52.6;0;17;1 - Celesc;
TDE06;94058;16285;744255.35;6944940.2;112.5;127.4;0;16;1 - Celesc;
TDE06;94059;6506;744297.78;6944911.12;75;60.1;0;17;1 - Celesc;
TDE06;94060;5462;744328.2;6944853.31;112.5;24.7;0;17;1 - Celesc;
TDE06;94069;7271;744050.25;6944481.87;45;22;0;17;1 - Celesc;
TDE06;94070;7270;744105.53;6944412.09;75;37.7;0;17;1 - Celesc;
TDE06;452604;25295;744127;6945048.53;112.5;18;0; ;1 - Celesc;
TDE06;95570;17973;744372.08;6944929.93;112.5;40;0;17;1 - Celesc;
TDE06;95658;17529;744248.67;6945078.17;45;12.7;0;16;1 - Celesc;
TDE06;96069;18053;744517.37;6945020.83;112.5;48.9;0;17;1 - Celesc;
TDE06;100435;18386;744124.34;6944484.47;45;40.4;0;17;1 - Celesc;
TDE06;100884;18222;744086.16;6944796.6;112.5;52.9;75000;17;1 - Celesc;
TDE06;102520;20105;743654.92;6944021.67;150;33.3;0;16;1 - Celesc;
TDE06;101983;7084;744374.91;6945062.51;75;57.4;0;17;1 - Celesc;
TDE06;102030;7408;744307.04;6945341.3;45;16.1;32500;17;1 - Celesc;
TDE06;102045;18918;744144.66;6944891.29;45;39;0;17;1 - Celesc;
TDE06;103329;5398;745111.81;6944631.56;45;2.6;0;17;1 - Celesc;
TDE06;103567;18588;743634.76;6944835.28;112.5;14.5;0;17;1 - Celesc;
TDE06;104509;7639;744100.07;6945383.47;112.5;37.3;12500;17;1 - Celesc;
TDE06;173999;22069;743934.01;6944484.32;75;0.4;0;17;1 - Celesc;
TDE06;177094;21721;743842.05;6944118.6;75;39.2;7150;17;1 - Celesc;
TDE06;177638;22666;744138.05;6944294.61;75;12.5;0;17;1 - Celesc;
TDE06;187383;22937;744187.59;6945313.25;45;31.2;600;17;1 - Celesc;
TDE06;188281;22665;744114.69;6944323.15;225;20.2;0;17;1 - Celesc;
TDE06;212643;23308;743706.31;6943886.01;45;12;18000; ;1 - Celesc;
TDE06;220965;7439;744136.61;6944387.93;75;54;0;17;1 - Celesc;
TDE06;220966;6743;744655.97;6944979.79;112.5;34.6;0;17;1 - Celesc;
TDE06;251394;23846;744213.68;6945096.78;75;17.2;0; ;1 - Celesc;
TDE06;429411;24934;743704.46;6944812.87;75;4.6;0;17;1 - Celesc;
TDE06;371109;24654;743994.91;6944284.17;150;19.8;0; ;1 - Celesc;
TDE06;463008;25402;743911.86327586;6944290.44652445;150;3;0; ;1 - Celesc;
TDE06;432203;24936;743818.91;6944643.25;75;12.2;0;17;1 - Celesc;

 ; ; ; ; ; ; ; ; ; ;
 ; ; ; ; ; ; ; ; ; ;
