Data de Emissão:;22/dez/2022
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Fusível.Identificador do Objeto;Chave Fusível.Número Operacional;Chave Fusível.Coordenada X;Chave Fusível.Coordenada Y;Chave Fusível.Rotação
TDE06;22705;71920;744101.12;6944354.13;133.4;
TDE06;59984;73752;744566.82;6944956.53;127.8;
TDE06;208943;22324;744158.84;6944917.45;296.6;
TDE06;21863;4026;743715.32;6943974.35;291.5;
TDE06;94924;80752;744683.09;6945008.19;283.2;
TDE06;122941;72747;744690.136588408;6944878.6441918;272.7;
TDE06;19592;4469;744221.22;6945134.27;76.6;
TDE06;19877;72734;744452.53;6945011.63;89.9;
TDE06;51171;72659;744314.77;6945106.11;221.8;
TDE06;53380;73946;744256.9;6944734.67;170.2;
TDE06;122942;8661;744656.23;6944893.73;98.6;
TDE06;22704;72180;744006.73;6944383.77;32.5;
TDE06;61075;81167;744103.52;6944338.5;306;
TDE06;22657;72023;744845.17;6944774.23;75.4;
TDE06;31239;73495;744393.04;6945048.83;66.4;
TDE06;31631;73492;743692.43;6944082.23;84;
TDE06;321346;25402;743930.1;6944293.3;188.9;
TDE06;100440;72236;744356.56;6945081.13;115.9;
TDE06;103126;81074;744691.815967038;6945017.82939265;68.5;
TDE06;28448;73280;744545.73;6945047.49;345;
TDE06;25258;3950;744188.69;6945137.43;234.8;
TDE06;25280;80049;744276.4;6945119.84;231.1;
TDE06;62905;72625;744791.24;6944894.87;10.1;
TDE06;21862;4201;743861.52;6944218.27;128.8;
TDE06;62374;81223;744130.94;6945157.12;72.6;
TDE06;107334;72228;743835.07;6944186.88;355.4;
TDE06;21861;4598;743952.65;6944265.47;128;
TDE06;21182;80577;744499.67;6944999.49;50.3;
TDE06;23643;72981;743922.37;6944252.09;308.4;
TDE06;26191;73108;744388.62;6944954.51;175.1;
TDE06;22722;71924;743910.67;6944247.15;295.5;
TDE06;26225;73122;744055.14;6944311.28;136.5;
TDE06;94920;4025;744115.41;6944367.21;66.1;
TDE06;252247;4549;743979.79875612;6944277.22134523;62.1;
TDE06;23040;4499;744341.19;6944875.65;132.1;

 ; ; ; ; ; ;
 ; ; ; ; ; ;
