Data de Emissão:;22/dez/2022
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Trecho Primário Aéreo.Identificador do Objeto;Rep. Grafica: Trecho Primário Aéreo.Linha;Rep. Grafica: Trecho Primário Aéreo.Rotação;Trecho Primário Aéreo.Comprimento Estimado;Trecho Primário Aéreo.Quantidade de Cabos por Fase;Trecho Primário Aéreo.Fases Existentes;Tipo de Cabo.Código de cabo;Tipo de Cabo.Reatância Positiva;Tipo de Cabo.Reatância Zero;Tipo de Cabo.Resistência Positiva;Tipo de Cabo.Resistência Zero
TDE06;1347444;LINESTRING (743979.79875612 6944277.22134523, 743987.28 6944291.38);0;16.0136352801216;1 - 1;10 - RST;1/0 CA;0.451;1.917;0.605;0.779;
TDE06;1277301;LINESTRING (745130.12 6944624.54, 745125.28 6944621.67);0;5.62694410851272;1 - 1;10 - RST;336.4 CA;0.403;1.86;0.187;0.365;
TDE06;58131;LINESTRING (743984.13 6944413.59, 743970.3 6944427.3);0;19.473905617462;1 - 1;10 - RST;2 CA;0.468;1.926;0.948;1.137;
TDE06;58132;LINESTRING (743970.3 6944427.3, 743956.04 6944458.54);0;34.3407221824794;1 - 1;10 - RST;2 CA;0.468;1.926;0.948;1.137;
TDE06;62705;LINESTRING (743971.3 6944833.73, 743987.4 6944819.14);0;21.727358330503;1 - 1;10 - RST;2 CA;0.468;1.926;0.948;1.137;
TDE06;62706;LINESTRING (743977.4 6944841.04, 743971.3 6944833.73);0;9.52082454379477;1 - 1;10 - RST;6 CU;0.508;1.965;1.485;1.659;
TDE06;62182;LINESTRING (743733.38 6943999.42, 743722.39 6943956.38);0;44.4209601427412;1 - 1;10 - RST;4/0 CA;0.424;1.882;0.297;0.476;
TDE06;62183;LINESTRING (743803.39 6944327.84, 743784.54 6944346.87);0;26.7855072755594;1 - 1;10 - RST;4 CA;0.486;1.943;1.504;1.703;
TDE06;62189;LINESTRING (744105.53 6944412.09, 744086.25 6944436.27);0;30.9255687091873;1 - 1;10 - RST;4 CA;0.486;1.943;1.504;1.703;
TDE06;62190;LINESTRING (743880.82 6944233.15, 743861.52 6944218.27);0;24.37015387777;1 - 1;10 - RST;4/0 CA;0.424;1.882;0.297;0.476;
TDE06;62196;LINESTRING (744548.59 6944971.89, 744526.79 6944988.89);0;27.6448910288493;1 - 1;10 - RST;4/0 CA;0.424;1.882;0.297;0.476;
TDE06;62199;LINESTRING (743722.39 6943956.38, 743715.32 6943974.35);0;19.3107690160155;1 - 1;10 - RST;2 CA;0.468;1.926;0.948;1.137;
TDE06;62200;LINESTRING (743715.32 6943974.35, 743687.68 6943989.82);0;31.6747612464801;1 - 1;10 - RST;2 CA;0.468;1.926;0.948;1.137;
TDE06;62220;LINESTRING (744094.78 6944348.4, 744086.26 6944340.69);0;11.4906266147562;1 - 1;10 - RST;4/0 CA;0.424;1.882;0.297;0.476;
