Data de Emissão:;22/dez/2022
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Trecho Primário Subterrâneo.Identificador do Objeto;Rep. Grafica: Trecho Primário Subterrâneo.Linha;Rep. Grafica: Trecho Primário Subterrâneo.Rotação;Trecho Primário Subterrâneo.Comprimento Estimado;Trecho Primário Subterrâneo.Quantidade de Cabos por Fase;Trecho Primário Subterrâneo.Fases Existentes;Tipo de Cabo.Código de cabo;Tipo de Cabo.Reatância Positiva;Tipo de Cabo.Reatância Zero;Tipo de Cabo.Resistência Positiva;Tipo de Cabo.Resistência Zero
TDE06;75;LINESTRING (744566.82 6944956.53, 744563.67 6944960.6);0;5.1465911043128;1 - 1;10 - RST;35 mm2-RDS-CU-15kV-XLPE;0.168;1.6724;0.668;1.864;
TDE06;76;LINESTRING (744563.67 6944960.6, 744568.63 6944982.17);0;22.1329279584172;1 - 1;10 - RST;35 mm2-RDS-CU-15kV-XLPE;0.168;1.6724;0.668;1.864;
TDE06;1202319;LINESTRING (743835.07 6944186.88, 743844.246047042 6944186.14006183);0;9.20583227145107;1 - 1;10 - RST;35 mm2-RDS-CU-15kV-XLPE;0.168;1.6724;0.668;1.864;
TDE06;1202320;LINESTRING (743844.246047042 6944186.14006183, 743864.241571984 6944179.50665077);0;21.067110860311;1 - 1;10 - RST;35 mm2-RDS-CU-15kV-XLPE;0.168;1.6724;0.668;1.864;
TDE06;2812;LINESTRING (744791.24 6944894.87, 744797.32 6944904.49);0;11.3802811917393;1 - 1;15 - TSR;400 mm2-RDS-AL-15kV-XLPE;0.12;1.592;0.0994;1.218;
TDE06;2814;LINESTRING (744797.32 6944904.49, 744876.9 6944986.12);0;114.001900422647;1 - 1;15 - TSR;400 mm2-RDS-AL-15kV-XLPE;0.12;1.592;0.0994;1.218;
TDE06;2815;LINESTRING (744876.9 6944986.12, 744882.77 6944991.65);0;8.06460166423795;1 - 1;15 - TSR;400 mm2-RDS-AL-15kV-XLPE;0.12;1.592;0.0994;1.218;
TDE06;1216941;LINESTRING (744680.840523724 6944876.87399986, 744627.529416899 6944857.00109477);0;56.8946963050353;1 - 1;10 - RST;70 mm2-RDS-AL-15kV-XLPE;0.153;1.6494;0.558;1.7463;
TDE06;1216940;LINESTRING (744690.136588408 6944878.6441918, 744680.840523724 6944876.87399986);0;9.46310721237487;1 - 1;10 - RST;70 mm2-RDS-AL-15kV-XLPE;0.153;1.6494;0.558;1.7463;
TDE06;7810;LINESTRING (744450.33 6945047.21, 744450.45 6945050.41);0;3.20224920973039;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-XLPE;0.161;1.663;0.805;2.0113;
TDE06;7811;LINESTRING (744452.53 6945014.86, 744450.33 6945047.21);0;32.4247205072951;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-XLPE;0.161;1.663;0.805;2.0113;
TDE06;7812;LINESTRING (744452.53 6945011.63, 744452.53 6945014.86);0;3.23000000044703;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-XLPE;0.161;1.663;0.805;2.0113;
TDE06;7586;LINESTRING (744101.12 6944354.13, 744099.1 6944356.27);0;2.9427877936814;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-XLPE;0.161;1.663;0.805;2.0113;
TDE06;7600;LINESTRING (744006.73 6944383.77, 744009.32 6944385.42);0;3.07092819871509;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-XLPE;0.161;1.663;0.805;2.0113;
TDE06;1199428;LINESTRING (744693.156578591 6945021.22585196, 744681.969048279 6945030.6126834);0;14.6038843793434;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-EPR;0.161;1.663;0.805;2.0113;
TDE06;1199427;LINESTRING (744691.815967038 6945017.82939265, 744693.156578591 6945021.22585196);0;3.65146206007516;1 - 1;10 - RST;50 mm2-RDS-AL-15kV-EPR;0.161;1.663;0.805;2.0113;
TDE06;7651;LINESTRING (744851.36 6944791.66, 744868 6944802.31);0;19.7563179770017;1 - 1;10 - RST;35 mm2-CI;0.1093; ;0.524;0;
