Data de Emissão:;22/dez/2022
Base de dados:;GENCEL_REL
Matrícula:;e018071

Alimentador.Código do Alimentador;Chave Seccionadora.Identificador do Objeto;Chave Seccionadora.Número Operacional;Chave Seccionadora.Coordenada X;Chave Seccionadora.Coordenada Y
TDE06;189709;1448;744171.73;6944393.09;
TDE06;276114;84396;743713.93;6943922.56;
TDE06;224807;84180;745317.72;6944575.83;
TDE06;50718;1061;744604.61;6944925.93;
TDE06;221208;84151;746017.97;6944633.45;
TDE06;72207;85268;744690.136588408;6944878.6441918;
TDE06;51623;2547;744791.24;6944894.87;
TDE06;12529;1015;746132.55;6944585.49;
TDE06;263407;84261;744629.9;6944952.99;
TDE06;3238;1314;744982.82;6944677.49;
TDE06;3360;1568;744915.55;6944705.21;
TDE06;4083;1163;744474.8;6945015.61;
TDE06;189708;2587;744124.87;6944460.65;
TDE06;276115;84439;744721.14;6944878.37;

 ; ; ; ; ;
 ; ; ; ; ;
