Regional.Nome da Regional;Alimentador.Código do Alimentador;Alimentador.Coordenada X;Alimentador.Coordenada Y;Alimentador.Tensão Nominal do Alimentador
S MIGUEL OESTE;MCR04;260737.29;7000781.97;2 - 23 kV
RIO DO SUL;RSD03;635875.05;6991435.48;2 - 23 kV
RIO DO SUL;RSD07;635875.37;6991418.92;2 - 23 kV
RIO DO SUL;IAA07;638546.35;6967208.17;2 - 23 kV
BLUMENAU;BND16;689745.35;7036150.18;1 - 13.8 kV
BLUMENAU;BND17;689742.21;7036157.71;1 - 13.8 kV
BLUMENAU;BSO01;687985.12;7025427.13;2 - 23 kV
BLUMENAU;BSO02;687989.69;7025425.09;2 - 23 kV
BLUMENAU;BSO03;687994.06;7025421.4;2 - 23 kV
BLUMENAU;BSO05;688005.41;7025412.51;2 - 23 kV
BLUMENAU;BSO06;688009.84;7025409.3;2 - 23 kV
BLUMENAU;BSO08;688017.69;7025403.41;2 - 23 kV
BLUMENAU;BSO09;688021.12;7025400.66;2 - 23 kV
BLUMENAU;BGA23;690826.44;7017611.58;2 - 23 kV
BLUMENAU;BGA24;690822.76;7017615.43;2 - 23 kV
BLUMENAU;BGA22;690830.23;7017607.78;2 - 23 kV
BLUMENAU;BGA30;690838.56;7017597.62;2 - 23 kV
BLUMENAU;BGA29;690804.97;7017618.47;2 - 23 kV
BLUMENAU;BGA28;690809.22;7017616.95;2 - 23 kV
BLUMENAU;BGA27;690812.87;7017615.43;2 - 23 kV
BLUMENAU;BGA26;690841.74;7017593.22;2 - 23 kV
BLUMENAU;BGA25;690800.41;7017619.99;2 - 23 kV
BLUMENAU;BBV03;686860;7021054;2 - 23 kV
BLUMENAU;BBV02;686866;7021058;2 - 23 kV
BLUMENAU;GPR09;704548;7019408;2 - 23 kV
BLUMENAU;GPR11;704530;7019430;2 - 23 kV
BLUMENAU;GPR10;704544;7019408;2 - 23 kV
BLUMENAU;GPR12;704524;7019430;2 - 23 kV
BLUMENAU;BBV01;686872;7021062;2 - 23 kV
BLUMENAU;BBV04;686854;7021050;2 - 23 kV
BLUMENAU;BQE07;708658.29;7004718.64;2 - 23 kV
BLUMENAU;BQE01;708733.49;7004707.71;2 - 23 kV
BLUMENAU;IAL03;671368.25;7023189.64;2 - 23 kV
BLUMENAU;IAL04;671373.41;7023180.4;2 - 23 kV
JOINVILLE;JPI04;711596.58;7095381.11;1 - 13.8 kV
JOINVILLE;JPI05;711594.72;7095385.25;1 - 13.8 kV
JOINVILLE;JPI06;711588.73;7095394.5;1 - 13.8 kV
FLORIANÓPOLIS;FAA10;743323.17;6947761.79;1 - 13.8 kV
ITAJAÍ;ISS01;726928.19;7023517.6;2 - 23 kV
ITAJAÍ;ISS02;726939.81;7023518.22;2 - 23 kV
ITAJAÍ;ISS03;726945.62;7023518.84;2 - 23 kV
ITAJAÍ;ISS04;726951.23;7023519.67;2 - 23 kV
ITAJAÍ;ISS05;726956.83;7023520.29;2 - 23 kV
ITAJAÍ;ISS06;726961.4;7023521.12;2 - 23 kV
ITAJAÍ;ISS07;726965.97;7023522.16;2 - 23 kV
ITAJAÍ;ISS08;726971.16;7023522.79;2 - 23 kV
BLUMENAU;TBO02;673109.48;7029145.16;2 - 23 kV
BLUMENAU;TBO03;673111.63;7029146.24;2 - 23 kV
BLUMENAU;DPO01;650746.4597;7043984.762;1 - 13.8 kV
SÃO BENTO SUL;VGE01;642212.48;7063766.58;1 - 13.8 kV
JARAGUÁ DO SUL;JSL04;691599.9083;7070317.883;1 - 13.8 kV
JARAGUÁ DO SUL;GRM01;696129.0546;7070352.531;3 - 34.5 kV
JARAGUÁ DO SUL;GRM02;696133.9985;7070354.572;3 - 34.5 kV
JOAÇABA;TTS01;457650.24;7013723.73;2 - 23 kV
JOAÇABA;TTS02;457644.99;7013720.58;2 - 23 kV
JARAGUÁ DO SUL;GRM10;696160.53;7070364.125;1 - 13.8 kV
JARAGUÁ DO SUL;GRM11;696165.7613;7070365.951;1 - 13.8 kV
JARAGUÁ DO SUL;GRI01;699791.5793;7070410.803;1 - 13.8 kV
JARAGUÁ DO SUL;SSR01;691943.6779;7077067.434;1 - 13.8 kV
JARAGUÁ DO SUL;JNR01;682591.26;7072194.95;1 - 13.8 kV
JARAGUÁ DO SUL;CPA01;675608.51;7075583.04;1 - 13.8 kV
JARAGUÁ DO SUL;JRL01;685825.36;7063963.45;1 - 13.8 kV
JARAGUÁ DO SUL;JRL02;685820.83;7063965.92;1 - 13.8 kV
JARAGUÁ DO SUL;JRL03;685815.9;7063968.39;1 - 13.8 kV
JARAGUÁ DO SUL;JRL04;685811.37;7063970.86;1 - 13.8 kV
JARAGUÁ DO SUL;JRL30;685791.19;7063976.96;3 - 34.5 kV
JOINVILLE;JVU02;711054.37;7090222.74;1 - 13.8 kV
JOINVILLE;JVT03;715583.9;7087225.49;1 - 13.8 kV
JOINVILLE;JVQ01;714636.1418;7092495.664;1 - 13.8 kV
JOINVILLE;PRA01;708890.93;7097063.97;1 - 13.8 kV
BLUMENAU;TBO01;673107.13;7029143.7;2 - 23 kV
BLUMENAU;TBO09;673092.1;7029154.56;2 - 23 kV
RIO DO SUL;IAA06;638548.1152;6967201.167;2 - 23 kV
