Alimentador.Código do Alimentador;Chave Fusível.Número Operacional;Chave Fusível.Fase Ligada;Chave Fusível.Em Serviço;Chave Fusível.Coordenada X;Chave Fusível.Coordenada Y
IRA06;4444;11 - RTS;1 - sim;637364.29;7015736.27
IRA06;4445;1 - R;1 - sim;636891.25;7015877.31
IRA06;4447;1 - R;1 - sim;637947.1;7015857.27
IRA06;3519;3 - T;1 - sim;640248.08;7020016.46
IRA06;3904;1 - R;1 - sim;637583.12;7015004.03
PGI01;4820;11 - RTS;1 - sim;614446.79;7019875.34
IRA06;71049;10 - RST;1 - sim;636242.69;7017004.95
PGI02;4787;11 - RTS;1 - sim;626327.66;7014879.49
PGI02;80313;3 - T;1 - sim;625012.1;7015589.41
PGI01;70123;11 - RTS;1 - sim;613300.75;7019577.63
IRA06;70172;13 - STR;1 - sim;636050.23;7017225.62
PGI01;80364;2 - S;1 - sim;612637.94;7017405.84
PGI03;80571;1 - R;1 - sim;622451.62;7025353.07
PGI01;4821;11 - RTS;1 - sim;610520.55;7018456.71
IRA06;3579;13 - STR;1 - sim;636667.29;7016788.31
PGI01;73216;11 - RTS;1 - sim;620500.28;7021268.37
PGI01;80555;1 - R;1 - sim;621707.13;7021030.29
PGI03;80119;2 - S;1 - sim;614707.74;7022492.65
IRA06;4452;3 - T;1 - sim;635579.42;7017444.91
PGI01;80246;3 - T;1 - sim;606115.11;7014637.93
PGI03;4477;11 - RTS;1 - sim;608682.7;7032379.71
PGI01;4814;3 - T;1 - sim;605813.82;7015594.27
PGI01;4816;1 - R;1 - sim;606056.41;7016238.33
IRA06;4709;2 - S;1 - sim;641827.6;7011682.81
PGI03;4716;13 - STR;1 - sim;610106;7030664.76
PGI01;7829;3 - T;1 - sim;628100.09;7017856.24
PGI03;3563;11 - RTS;1 - sim;609110.32;7031497.57
PGI03;80207;2 - S;1 - sim;610495.26;7030285.14
PGI03;4476;11 - RTS;1 - sim;608966.39;7031614.74
PGI01;70127;13 - STR;1 - sim;623040.23;7021103.06
