Alimentador.Código do Alimentador;Religador.Número Operacional;Religador.Em Serviço;Religador.Coordenada X;Religador.Coordenada Y;Religador.Fase Ligada
VDA01;539;1 - sim;477020.04;7007811.7;11 - RTS
COA08;574;1 - sim;398581.59;6987210.94;15 - TSR
SJC02;566;1 - sim;267269.36;7063022.13;12 - SRT
SMD08;552;1 - sim;233571.91;7051083.03;15 - TSR
TRA06;519;1 - sim;473657.22;7003784.77;10 - RST
FBO05;520;1 - sim;503942.93;7012747.56;15 - TSR
SIO01;525;1 - sim;635984.511;6777333.142;10 - RST
LAI07;86502;1 - sim;562459.7;6924205.97;12 - SRT
SCA03;515;1 - sim;555243.52;7023255.6;14 - TRS
BND16;545;1 - sim;692046.55;7038957.07;10 - RST
MDA01;543;1 - sim;699985.97;7056353.35;12 - SRT
LAS01;551;1 - sim;705754.09;7042480.46;15 - TSR
VDA02;528;1 - sim;475381.39;7013900.03;15 - TSR
BGA25;562;1 - sim;692481.74;7020666.39;10 - RST
TCL01;563;1 - sim;605908.57;6984555.19;13 - STR
TCL03;86511;1 - sim;615588.18;6967321.72;12 - SRT
RSL06;576;1 - sim;620297.58;6990793;15 - TSR
TIO05;585;1 - sim;603288.95;6985175.39;15 - TSR
BND17;596;1 - sim;702212.37;7044572.23;10 - RST
SMD06;531;1 - sim;244515.26;7047108.91;10 - RST
IOA03;577;1 - sim;737428.49;7108467.48;10 - RST
IOA03;578;1 - sim;735926.2;7108213.85;10 - RST
SJC06;532;1 - sim;241754.39;7090879.79;13 - STR
INA05;558;1 - sim;241193.44;7003042.62;10 - RST
AGA09;512;1 - sim;649859.42;6798109.7;15 - TSR
IOS53;89024;1 - sim;606923.41;7087234.99;1 - R
GRM10;562;1 - sim;696339.89;7068573.68;15 - TSR
IOS52;89021;1 - sim;613889.26;7085573.24;2 - S
IAL03;595;1 - sim;676130.51;7024232.19;10 - RST
VDA07;518;1 - sim;481877.56;7014502.47;15 - TSR
TBO06;586;1 - sim;671247.03;7041000.68;14 - TRS
BSP01;588;1 - sim;699187.97;7003061.16;15 - TSR
COA05;558;1 - sim;381626.98;6993555.99;11 - RTS
GPR08;585;1 - sim;702243.05;7019722.85;10 - RST
PRE04;594;1 - sim;681026.24;7041355.69;15 - TSR
LAI02;518;1 - sim;564981.15;6925880.79;14 - TRS
IRA02;86505;1 - sim;647085.26;7006462.24;13 - STR
TDE01;86532;1 - sim;749444.32;6944456.88;10 - RST
TDE01;86535;1 - sim;748243.7168;6943403.328;10 - RST
TJS06;86537;1 - sim;704561.25;6980092.91;10 - RST
JCP03;574;1 - sim;687885.92;7067620.17;15 - TSR
IRM01;525;1 - sim;387185.04;7006032.58;10 - RST
SBS06;520;1 - sim;661057.86;7094697.05;10 - RST
SRA04;515;1 - sim;368858.07;6992626.46;10 - RST
TRO08;507;1 - sim;687651.19;6854260.74;10 - RST
LUC03;577;1 - sim;520664.38;6914348.53;15 - TSR
CCI04;503;1 - sim;330375.58;7021627.61;13 - STR
